"","module","bin_name","module_name","module_class","module_category","module_subcategory","module_definition","stepwise_module_completeness","stepwise_module_is_complete","pathwise_module_completeness","pathwise_module_is_complete","proportion_unique_enzymes_present","enzymes_unique_to_module","unique_enzymes_hit_counts","enzyme_hits_in_module","gene_caller_ids_in_module","warnings","pathwise_copy_number","stepwise_copy_number","per_step_copy_numbers","group"
"1064","M00151","ND35_MAG_00041","Cytochrome bc1 complex respiratory unit","Pathway modules","Energy metabolism","ATP synthesis","((K00412+K00413,K00410)+K00411),K03886+K03887+K03888,K03890+K03891+K03889",0,"False",0,"False",NA,"No enzymes unique to module",NA,"","","None",NA,0,"0","susceptible"
"1065","M00086","ND35_MAG_00041","beta-Oxidation, acyl-CoA synthesis","Pathway modules","Lipid metabolism","Fatty acid metabolism","K01897,K15013",1,"True",1,"True",1,"K01897","2","K01897,K01897","579810,580998","None",2,2,"2","susceptible"
"1066","M00546","ND35_MAG_00041","Purine degradation, xanthine => urea","Pathway modules","Nucleotide metabolism","Purine metabolism","(K00106,K00087+K13479+K13480,K13481+K13482,K11177+K11178+K13483) (K00365,K16838,K16839,K22879) (K13484,K07127 (K13485,K16838,K16840)) (K01466,K16842) K01477",0,"False",0,"False",NA,"No enzymes unique to module",NA,"","","None",NA,0,"0,0,0,0,0","susceptible"
"1067","M00020","ND35_MAG_00041","Serine biosynthesis, glycerate-3P => serine","Pathway modules","Amino acid metabolism","Serine and threonine metabolism","K00058 K00831 (K01079,K02203,K22305,K25528)",0.666666666666667,"False",0.666666666666667,"False",1,"K00058","2","K00058,K00058,K00831","580913,581237,579814","K00831 is present in multiple modules: M00020/M00124",0,0,"2,1,0","susceptible"
"1068","M00338","ND35_MAG_00041","Cysteine biosynthesis, homocysteine + serine => cysteine","Pathway modules","Amino acid metabolism","Cysteine and methionine metabolism","(K01697,K10150) K01758",1,"True",1,"True",1,"K01758","1","K01697,K01758","580373,581179","K01697 is present in multiple modules: M00338/M00035",1,1,"1,1","susceptible"
"1069","M00035","ND35_MAG_00041","Methionine degradation","Pathway modules","Amino acid metabolism","Cysteine and methionine metabolism","K00789 (K00558,K17398,K17399) K01251 (K01697,K10150)",0.75,"True",0.75,"True",1,"K01251","2","K00789,K01251,K01251,K01697","581432,579653,581478,580373","K00789 is present in multiple modules: M00609/M00034/M00035/M00368,K01697 is present in multiple modules: M00338/M00035",1,0,"1,0,2,1","susceptible"
"1070","M00019","ND35_MAG_00041","Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine","Pathway modules","Amino acid metabolism","Branched-chain amino acid metabolism","K01652+(K01653,K11258) K00053 K01687 K00826",0.5,"False",0.625,"False",NA,"No enzymes unique to module",NA,"K00053,K00826,K01653","580123,580323,580124","K00826 is present in multiple modules: M00019/M00570/M00036/M00119,K01653 is present in multiple modules: M00019/M00570,K00053 is present in multiple modules: M00019/M00570",0,0,"0,1,0,1","susceptible"
"1071","M00570","ND35_MAG_00041","Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine","Pathway modules","Amino acid metabolism","Branched-chain amino acid metabolism","(K17989,K01754) K01652+(K01653,K11258) K00053 K01687 K00826",0.6,"False",0.7,"False",1,"K01754","1","K00053,K00826,K01653,K01754","580123,580323,580124,580122","K00826 is present in multiple modules: M00019/M00570/M00036/M00119,K01653 is present in multiple modules: M00019/M00570,K00053 is present in multiple modules: M00019/M00570",0,0,"1,0,1,0,1","susceptible"
"1072","M00432","ND35_MAG_00041","Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate","Pathway modules","Amino acid metabolism","Branched-chain amino acid metabolism","K01649 (K01702,K01703+K01704) K00052",1,"True",1,"True",1,"K01649","1","K00052,K01649,K01703,K01704","579803,579806,579805,579804","K01703 is present in multiple modules: M00535/M00432,K01704 is present in multiple modules: M00535/M00432,K00052 is present in multiple modules: M00535/M00432",1,1,"1,1,1","susceptible"
"1073","M00844","ND35_MAG_00041","Arginine biosynthesis, ornithine => arginine","Pathway modules","Amino acid metabolism","Arginine and proline metabolism","K00611 K01940 (K01755,K14681)",0.666666666666667,"False",0.666666666666667,"False",NA,"No enzymes unique to module",NA,"K01755,K01940","580582,580588","K01940 is present in multiple modules: M00844/M00845/M00029,K01755 is present in multiple modules: M00844/M00845/M00029",0,0,"0,1,1","susceptible"
"1074","M00015","ND35_MAG_00041","Proline biosynthesis, glutamate => proline","Pathway modules","Amino acid metabolism","Arginine and proline metabolism","((K00931 K00147),K12657) K00286",0,"False",0,"False",NA,"No enzymes unique to module",NA,"","","None",NA,0,"0,0","susceptible"
"1075","M00026","ND35_MAG_00041","Histidine biosynthesis, PRPP => histidine","Pathway modules","Amino acid metabolism","Histidine metabolism","(K00765-K02502) (K01523 K01496,K11755,K14152) (K01814,K24017) (K02501+K02500,K01663) ((K01693 K00817 (K04486,K05602,K18649)),(K01089 K00817)) (K00013,K14152)",1,"True",1,"True",1,"K00013,K00765,K00817,K01089,K01814,K02500,K02501,K11755","1,1,1,1,1,1,1,1","K00013,K00765,K00817,K01089,K01814,K02500,K02501,K11755","581599,581600,581598,581595,580902,580901,580903,580900","None",1,1,"1,1,1,1,1,1","susceptible"
"1076","M00045","ND35_MAG_00041","Histidine degradation, histidine => N-formiminoglutamate => glutamate","Pathway modules","Amino acid metabolism","Histidine metabolism","K01745 K01712 K01468 (K01479,K00603,K13990,(K05603 K01458))",1,"True",1,"True",1,"K01468,K01479,K01712,K01745","1,2,1,1","K01468,K01479,K01479,K01712,K01745","579624,579626,580552,579625,581052","None",1,1,"1,1,1,2","susceptible"
"1077","M00024","ND35_MAG_00041","Phenylalanine biosynthesis, chorismate => phenylpyruvate => phenylalanine","Pathway modules","Amino acid metabolism","Aromatic amino acid metabolism","((K01850,K04092,K14187,K04093,K04516,K06208,K06209) (K01713,K04518,K05359),K14170) (K00832,K00838)",0.5,"False",0.666666666666667,"False",1,"K04518","1","K04516,K04516,K04518","580092,581611,580088","K04516 is present in multiple modules: M00024/M00025",0,0,"1,0","susceptible"
"1078","M00025","ND35_MAG_00041","Tyrosine biosynthesis, chorismate => HPP => tyrosine","Pathway modules","Amino acid metabolism","Aromatic amino acid metabolism","(((K01850,K04092,K14170,K04093,K04516,K06208,K06209) (K04517,K00211)),K14187) (K00832,K00838)",0.5,"False",0.666666666666667,"False",1,"K04517","1","K04516,K04516,K04517","580092,581611,580090","K04516 is present in multiple modules: M00024/M00025",0,0,"1,0","susceptible"
"1079","M00912","ND35_MAG_00041","NAD biosynthesis, tryptophan => quinolinate => NAD","Pathway modules","Metabolism of cofactors and vitamins","Cofactor and vitamin metabolism","(K00453,K00463) (K01432,K14263,K07130) K00486 K01556 K00452 K00767 (K00969,K06210) (K01916,K01950)",0.5,"False",0.5,"False",NA,"No enzymes unique to module",NA,"K00453,K00767,K00969,K01556,K01556","580520,581219,581453,580517,580668","K00453 is present in multiple modules: M00038/M00912,K00767 is present in multiple modules: M00115/M00912,K01556 is present in multiple modules: M00038/M00912,K00969 is present in multiple modules: M00115/M00912",0,0,"1,0,0,2,0,1,1,0","susceptible"
"1080","M00913","ND35_MAG_00041","Pantothenate biosynthesis, 2-oxoisovalerate/spermine => pantothenate","Pathway modules","Metabolism of cofactors and vitamins","Cofactor and vitamin metabolism","K00606 K00077 K13367 K00128 K01918",0,"False",0,"False",NA,"No enzymes unique to module",NA,"","","None",NA,0,"0,0,0,0,0","susceptible"
"1081","M00572","ND35_MAG_00041","Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP","Pathway modules","Metabolism of cofactors and vitamins","Cofactor and vitamin metabolism","K02169 (K00647,K09458) K00059 K02372 K00208 (K02170,K09789,K19560,K19561)",0.666666666666667,"False",0.666666666666667,"False",NA,"No enzymes unique to module",NA,"K00059,K00208,K02372,K09458","581320,580058,581484,580527","K00208 is present in multiple modules: M00083/M00572,K00059 is present in multiple modules: M00083/M00874/M00572,K02372 is present in multiple modules: M00083/M00572,K09458 is present in multiple modules: M00083/M00873/M00874/M00572",0,0,"0,1,1,1,1,0","susceptible"
"1082","M00932","ND35_MAG_00041","Phylloquinone biosynthesis, chorismate (+ phytyl-PP) => phylloquinol","Pathway modules","Metabolism of cofactors and vitamins","Cofactor and vitamin metabolism","(K02552 K02551 K08680 K02549,K14759) (K01911,K14760) K01661 (K19222,K12073) K23094 K17872 K23095",0,"False",0,"False",NA,"No enzymes unique to module",NA,"","","None",NA,0,"0,0,0,0,0,0,0","susceptible"
"1083","M00793","ND35_MAG_00041","dTDP-L-rhamnose biosynthesis","Pathway modules","Biosynthesis of terpenoids and polyketides","Polyketide sugar unit biosynthesis","K00973 K01710 (K01790 K00067,K23987)",1,"True",1,"True",1,"K00067,K00973,K01710,K01790","2,1,1,1","K00067,K00067,K00973,K01710,K01790","579715,579491,580416,580418,580417","None",1,1,"1,1,1","susceptible"
"1084","M00548","ND35_MAG_00041","Benzene degradation, benzene => catechol","Pathway modules","Xenobiotics biodegradation","Aromatics degradation","K16249+K16243+K16244+K16242+K16245+K16246",0,"False",0,"False",NA,"No enzymes unique to module",NA,"","","None",NA,0,"0","susceptible"
"1085","M00615","ND35_MAG_00041","Nitrate assimilation","Signature modules","Module set","Metabolic capacity","(K02575,K15576+K15577+K15578-K15579) M00531",0,"False",0,"False",NA,"No enzymes unique to module",NA,"","","None",NA,0,"0,0","susceptible"
"1086","M00001","ND35_MAG_00042","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate","Pathway modules","Carbohydrate metabolism","Central carbohydrate metabolism","(K00844,K12407,K00845,K25026,K00886,K08074,K00918) (K01810,K06859,K13810,K15916) (K00850,K16370,K21071,K00918) (K01623,K01624,K11645,K16305,K16306) K01803 ((K00134,K00150) K00927,K11389) (K01834,K15633,K15634,K15635) K01689 (K00873,K12406)",0.666666666666667,"False",0.7,"False",NA,"No enzymes unique to module",NA,"K00873,K00927,K01624,K01689,K01689,K01803,K01810,K01810,K01834","582839,582835,582840,582619,583996,582709,582852,584477,582091","K01689 is present in multiple modules: M00001/M00002/M00003/M00346,K01624 is present in multiple modules: M00001/M00003/M00165/M00167/M00345/M00344/M00611/M00612,K01834 is present in multiple modules: M00001/M00002/M00003,K01810 is present in multiple modules: M00001/M00004/M00892/M00909,K01803 is present in multiple modules: M00001/M00002/M00003,K00873 is present in multiple modules: M00001/M00002,K00927 is present in multiple modules: M00001/M00002/M00003/M00308/M00552/M00165/M00166/M00611/M00612",0,0,"0,2,0,1,1,0,1,2,1","resistant"
"1087","M00307","ND35_MAG_00042","Pyruvate oxidation, pyruvate => acetyl-CoA","Pathway modules","Carbohydrate metabolism","Central carbohydrate metabolism","((K00163,K00161+K00162)+K00627+K00382-K13997),K00169+K00170+K00171+(K00172,K00189),K03737",0,"False",0.666666666666667,"False",1,"K00163","2","K00163,K00163,K00382","583038,583196,583207","K00382 is present in multiple modules: M00307/M00009/M00011/M00532/M00036/M00032",0,1,"1","resistant"
"1088","M00010","ND35_MAG_00042","Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate","Pathway modules","Carbohydrate metabolism","Central carbohydrate metabolism","(K01647,K05942) (K01681,K01682) (K00031,K00030)",1,"True",1,"True",NA,"No enzymes unique to module",NA,"K00031,K01647,K01682","582273,584285,582180","K00031 is present in multiple modules: M00009/M00010/M00740/M00173/M00614,K01682 is present in multiple modules: M00009/M00010/M00012/M00173/M00614,K01647 is present in multiple modules: M00009/M00010/M00012/M00740",1,1,"1,1,1","resistant"
"1089","M00909","ND35_MAG_00042","UDP-N-acetyl-D-glucosamine biosynthesis, prokaryotes, glucose => UDP-GlcNAc","Pathway modules","Carbohydrate metabolism","Other carbohydrate metabolism","(K00845,K25026) (K01810,K13810,K15916) K00820 K03431 K04042",0.6,"False",0.6,"False",1,"K04042","1","K00820,K01810,K01810,K04042","582875,582852,584477,582876","K01810 is present in multiple modules: M00001/M00004/M00892/M00909,K00820 is present in multiple modules: M00892/M00909",0,0,"0,2,1,0,1","resistant"
"1090","M00012","ND35_MAG_00042","Glyoxylate cycle","Pathway modules","Carbohydrate metabolism","Other carbohydrate metabolism","K01647 (K01681,K01682) K01637 (K01638,K19282) (K00026,K00025,K00024)",1,"True",1,"True",1,"K01637,K01638","2,2","K00024,K01637,K01637,K01638,K01638,K01647,K01682","582182,582172,583315,584222,582552,584285,582180","K01682 is present in multiple modules: M00009/M00010/M00012/M00173/M00614,K00024 is present in multiple modules: M00009/M00011/M00012/M00740/M00168/M00173/M00374/M00620/M00346/M00614,K01647 is present in multiple modules: M00009/M00010/M00012/M00740",1,1,"1,1,2,2,1","resistant"
"1091","M00741","ND35_MAG_00042","Propanoyl-CoA metabolism, propanoyl-CoA => succinyl-CoA","Pathway modules","Carbohydrate metabolism","Other carbohydrate metabolism","(K01965+K01966,K11263+(K18472,K19312+K22568),K01964+K15036+K15037) K05606 (K01847,K01848+K01849)",0,"False",0,"False",NA,"No enzymes unique to module",NA,"","","None",NA,0,"0,0,0","resistant"
"1092","M00165","ND35_MAG_00042","Reductive pentose phosphate cycle (Calvin cycle)","Pathway modules","Energy metabolism","Carbon fixation","K00855 (K01601-K01602) K00927 (K05298,K00150,K00134) (K01623,K01624) (K03841,K02446,K11532,K01086) K00615 (K01623,K01624) (K01100,K11532,K01086) K00615 (K01807,K01808)",0.909090909090909,"True",0.909090909090909,"True",NA,"No enzymes unique to module",NA,"K00615,K00855,K00927,K01086,K01601,K01602,K01624,K01807,K03841,K03841","582459,582900,582835,582901,582905,582904,582840,584369,582901,582064","K00615 is present in multiple modules: M00004/M00007/M00165/M00167/M00611/M00612,K01624 is present in multiple modules: M00001/M00003/M00165/M00167/M00345/M00344/M00611/M00612,K03841 is present in multiple modules: M00003/M00165/M00167/M00344/M00611/M00612,K01602 is present in multiple modules: M00532/M00165/M00166/M00611/M00612,K01807 is present in multiple modules: M00004/M00007/M00580/M00165/M00167/M00611/M00612,K01086 is present in multiple modules: M00003/M00165/M00167,K00855 is present in multiple modules: M00165/M00166/M00611/M00612,K00927 is present in multiple modules: M00001/M00002/M00003/M00308/M00552/M00165/M00166/M00611/M00612,K01601 is present in multiple modules: M00532/M00165/M00166/M00611/M00612",1,0,"1,1,1,0,1,3,1,1,1,1,1","resistant"
"1093","M00166","ND35_MAG_00042","Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P","Pathway modules","Energy metabolism","Carbon fixation","K00855 (K01601-K01602) K00927 (K05298,K00150,K00134)",0.75,"True",0.75,"True",NA,"No enzymes unique to module",NA,"K00855,K00927,K01601,K01602","582900,582835,582905,582904","K00927 is present in multiple modules: M00001/M00002/M00003/M00308/M00552/M00165/M00166/M00611/M00612,K01601 is present in multiple modules: M00532/M00165/M00166/M00611/M00612,K01602 is present in multiple modules: M00532/M00165/M00166/M00611/M00612,K00855 is present in multiple modules: M00165/M00166/M00611/M00612",1,0,"1,1,1,0","resistant"
"1094","M00168","ND35_MAG_00042","CAM (Crassulacean acid metabolism), dark","Pathway modules","Energy metabolism","Carbon fixation","K01595 (K00025,K00026,K00024)",1,"True",1,"True",NA,"No enzymes unique to module",NA,"K00024,K01595","582182,583064","K00024 is present in multiple modules: M00009/M00011/M00012/M00740/M00168/M00173/M00374/M00620/M00346/M00614,K01595 is present in multiple modules: M00168/M00172/M00171/M00170/M00173/M00374/M00346/M00614",1,1,"1,1","resistant"
"1095","M00579","ND35_MAG_00042","Phosphate acetyltransferase-acetate kinase pathway, acetyl-CoA => acetate","Pathway modules","Energy metabolism","Carbon fixation","(K00625,K13788,K15024) K00925",0,"False",0,"False",NA,"No enzymes unique to module",NA,"","","None",NA,0,"0,0","resistant"
"1096","M00378","ND35_MAG_00042","F420 biosynthesis, archaea","Pathway modules","Energy metabolism","Methane metabolism","K11780+K11781 K14941 K11212 K12234",0,"False",0,"False",NA,"No enzymes unique to module",NA,"","","None",NA,0,"0,0,0,0","resistant"
"1097","M00531","ND35_MAG_00042","Assimilatory nitrate reduction, nitrate => ammonia","Pathway modules","Energy metabolism","Nitrogen metabolism","(K00367,K10534,K00372-K00360) (K00366,K17877)",0,"False",0,"False",NA,"No enzymes unique to module",NA,"","","None",NA,0,"0,0","resistant"
"1098","M00595","ND35_MAG_00042","Thiosulfate oxidation by SOX complex, thiosulfate => sulfate","Pathway modules","Energy metabolism","Sulfur metabolism","K17222+K17223+K17224-K17225-K22622+K17226+K17227",0,"False",0.2,"False",1,"K17223","1","K17223","583048","None",0,0,"0","resistant"
"1099","M00151","ND35_MAG_00042","Cytochrome bc1 complex respiratory unit","Pathway modules","Energy metabolism","ATP synthesis","((K00412+K00413,K00410)+K00411),K03886+K03887+K03888,K03890+K03891+K03889",1,"True",1,"True",NA,"No enzymes unique to module",NA,"K00411,K00411,K00412,K00412,K00413,K00413","584399,582980,584398,582979,584397,582978","K00413 is present in multiple modules: M00151/M00152,K00411 is present in multiple modules: M00151/M00152,K00412 is present in multiple modules: M00151/M00152",2,2,"2","resistant"
"1100","M00086","ND35_MAG_00042","beta-Oxidation, acyl-CoA synthesis","Pathway modules","Lipid metabolism","Fatty acid metabolism","K01897,K15013",1,"True",1,"True",1,"K01897","3","K01897,K01897,K01897","582560,583336,584047","None",3,3,"3","resistant"
"1101","M00546","ND35_MAG_00042","Purine degradation, xanthine => urea","Pathway modules","Nucleotide metabolism","Purine metabolism","(K00106,K00087+K13479+K13480,K13481+K13482,K11177+K11178+K13483) (K00365,K16838,K16839,K22879) (K13484,K07127 (K13485,K16838,K16840)) (K01466,K16842) K01477",0.2,"False",0.2,"False",1,"K16842","2","K16842,K16842","582042,583752","None",0,0,"0,0,0,2,0","resistant"
"1102","M00020","ND35_MAG_00042","Serine biosynthesis, glycerate-3P => serine","Pathway modules","Amino acid metabolism","Serine and threonine metabolism","K00058 K00831 (K01079,K02203,K22305,K25528)",0.666666666666667,"False",0.666666666666667,"False",1,"K01079","1","K00831,K01079","583039,581975","K00831 is present in multiple modules: M00020/M00124",0,0,"0,1,1","resistant"
"1103","M00338","ND35_MAG_00042","Cysteine biosynthesis, homocysteine + serine => cysteine","Pathway modules","Amino acid metabolism","Cysteine and methionine metabolism","(K01697,K10150) K01758",0,"False",0,"False",NA,"No enzymes unique to module",NA,"","","None",NA,0,"0,0","resistant"
"1104","M00035","ND35_MAG_00042","Methionine degradation","Pathway modules","Amino acid metabolism","Cysteine and methionine metabolism","K00789 (K00558,K17398,K17399) K01251 (K01697,K10150)",0.75,"True",0.75,"True",1,"K00558,K01251","1,1","K00558,K00789,K01251","584240,583013,584440","K00789 is present in multiple modules: M00609/M00034/M00035/M00368",1,0,"1,1,1,0","resistant"
"1105","M00019","ND35_MAG_00042","Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine","Pathway modules","Amino acid metabolism","Branched-chain amino acid metabolism","K01652+(K01653,K11258) K00053 K01687 K00826",0.75,"True",0.75,"True",NA,"No enzymes unique to module",NA,"K00826,K01652,K01652,K01653,K01687","584069,582179,582736,582178,582992","K01652 is present in multiple modules: M00019/M00570,K01687 is present in multiple modules: M00019/M00570,K01653 is present in multiple modules: M00019/M00570,K00826 is present in multiple modules: M00019/M00570/M00036/M00119",1,0,"1,0,1,1","resistant"
"1106","M00570","ND35_MAG_00042","Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine","Pathway modules","Amino acid metabolism","Branched-chain amino acid metabolism","(K17989,K01754) K01652+(K01653,K11258) K00053 K01687 K00826",0.8,"True",0.8,"True",1,"K01754","2","K00826,K01652,K01652,K01653,K01687,K01754,K01754","584069,582179,582736,582178,582992,583149,583685","K01652 is present in multiple modules: M00019/M00570,K01687 is present in multiple modules: M00019/M00570,K01653 is present in multiple modules: M00019/M00570,K00826 is present in multiple modules: M00019/M00570/M00036/M00119",1,0,"2,1,0,1,1","resistant"
"1107","M00432","ND35_MAG_00042","Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate","Pathway modules","Amino acid metabolism","Branched-chain amino acid metabolism","K01649 (K01702,K01703+K01704) K00052",0.666666666666667,"False",0.666666666666667,"False",1,"K01649","1","K01649,K01703,K01704","583055,584284,584529","K01704 is present in multiple modules: M00535/M00432,K01703 is present in multiple modules: M00535/M00432",0,0,"1,1,0","resistant"
"1108","M00844","ND35_MAG_00042","Arginine biosynthesis, ornithine => arginine","Pathway modules","Amino acid metabolism","Arginine and proline metabolism","K00611 K01940 (K01755,K14681)",0.333333333333333,"False",0.333333333333333,"False",NA,"No enzymes unique to module",NA,"K01755,K01755","583066,581739","K01755 is present in multiple modules: M00844/M00845/M00029",0,0,"0,0,2","resistant"
"1109","M00015","ND35_MAG_00042","Proline biosynthesis, glutamate => proline","Pathway modules","Amino acid metabolism","Arginine and proline metabolism","((K00931 K00147),K12657) K00286",1,"True",1,"True",1,"K00147,K00286,K00931","1,1,2","K00147,K00286,K00931,K00931","582125,581820,582225,583401","None",1,1,"1,1","resistant"
"1110","M00026","ND35_MAG_00042","Histidine biosynthesis, PRPP => histidine","Pathway modules","Amino acid metabolism","Histidine metabolism","(K00765-K02502) (K01523 K01496,K11755,K14152) (K01814,K24017) (K02501+K02500,K01663) ((K01693 K00817 (K04486,K05602,K18649)),(K01089 K00817)) (K00013,K14152)",0.833333333333333,"True",0.888888888888889,"True",1,"K00013,K00765,K00817,K01496,K01523,K01693,K01814,K02500,K02501","1,1,1,1,1,1,1,1,1","K00013,K00765,K00817,K01496,K01523,K01693,K01814,K02500,K02501","583542,583543,582871,584408,584407,582870,582868,582867,582869","None",1,1,"1,1,1,1,1,1","resistant"
"1111","M00045","ND35_MAG_00042","Histidine degradation, histidine => N-formiminoglutamate => glutamate","Pathway modules","Amino acid metabolism","Histidine metabolism","K01745 K01712 K01468 (K01479,K00603,K13990,(K05603 K01458))",0.75,"True",0.8,"True",1,"K01458,K01468,K01712,K05603","2,1,2,2","K01458,K01458,K01468,K01712,K01712,K05603,K05603","581705,582751,581707,581709,583581,581706,582752","None",1,0,"0,2,1,2","resistant"
"1112","M00024","ND35_MAG_00042","Phenylalanine biosynthesis, chorismate => phenylpyruvate => phenylalanine","Pathway modules","Amino acid metabolism","Aromatic amino acid metabolism","((K01850,K04092,K14187,K04093,K04516,K06208,K06209) (K01713,K04518,K05359),K14170) (K00832,K00838)",0.5,"False",0.666666666666667,"False",1,"K01713","1","K00832,K01713","582697,582412","K00832 is present in multiple modules: M00034/M00024/M00025/M00040/M00044",0,0,"0,1","resistant"
"1113","M00025","ND35_MAG_00042","Tyrosine biosynthesis, chorismate => HPP => tyrosine","Pathway modules","Amino acid metabolism","Aromatic amino acid metabolism","(((K01850,K04092,K14170,K04093,K04516,K06208,K06209) (K04517,K00211)),K14187) (K00832,K00838)",0.5,"False",0.5,"False",NA,"No enzymes unique to module",NA,"K00832","582697","K00832 is present in multiple modules: M00034/M00024/M00025/M00040/M00044",0,0,"0,1","resistant"
"1114","M00912","ND35_MAG_00042","NAD biosynthesis, tryptophan => quinolinate => NAD","Pathway modules","Metabolism of cofactors and vitamins","Cofactor and vitamin metabolism","(K00453,K00463) (K01432,K14263,K07130) K00486 K01556 K00452 K00767 (K00969,K06210) (K01916,K01950)",0.5,"False",0.5,"False",NA,"No enzymes unique to module",NA,"K00453,K00969,K01432,K01916,K01950,K01950","582574,582280,582202,582147,583073,582147","K00453 is present in multiple modules: M00038/M00912,K01432 is present in multiple modules: M00038/M00912,K01950 is present in multiple modules: M00115/M00912,K00969 is present in multiple modules: M00115/M00912,K01916 is present in multiple modules: M00115/M00912",0,0,"1,1,0,0,0,0,1,3","resistant"
"1115","M00913","ND35_MAG_00042","Pantothenate biosynthesis, 2-oxoisovalerate/spermine => pantothenate","Pathway modules","Metabolism of cofactors and vitamins","Cofactor and vitamin metabolism","K00606 K00077 K13367 K00128 K01918",0.6,"False",0.6,"False",NA,"No enzymes unique to module",NA,"K00077,K00606,K00606,K01918","582885,582536,582974,582537","K00077 is present in multiple modules: M00119/M00913/M00914,K01918 is present in multiple modules: M00119/M00913,K00606 is present in multiple modules: M00119/M00913/M00914",0,0,"2,1,0,0,1","resistant"
"1116","M00572","ND35_MAG_00042","Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP","Pathway modules","Metabolism of cofactors and vitamins","Cofactor and vitamin metabolism","K02169 (K00647,K09458) K00059 K02372 K00208 (K02170,K09789,K19560,K19561)",0.833333333333333,"True",0.833333333333333,"True",1,"K02169","1","K00059,K00059,K00059,K00059,K00059,K00208,K02169,K02372,K09458","583175,584342,582016,583198,583432,582740,582510,583721,582649","K00208 is present in multiple modules: M00083/M00572,K00059 is present in multiple modules: M00083/M00874/M00572,K02372 is present in multiple modules: M00083/M00572,K09458 is present in multiple modules: M00083/M00873/M00874/M00572",1,0,"1,1,5,1,1,0","resistant"
"1117","M00932","ND35_MAG_00042","Phylloquinone biosynthesis, chorismate (+ phytyl-PP) => phylloquinol","Pathway modules","Metabolism of cofactors and vitamins","Cofactor and vitamin metabolism","(K02552 K02551 K08680 K02549,K14759) (K01911,K14760) K01661 (K19222,K12073) K23094 K17872 K23095",0.142857142857143,"False",0.142857142857143,"False",NA,"No enzymes unique to module",NA,"K19222","582150","K19222 is present in multiple modules: M00116/M00932",0,0,"0,0,0,1,0,0,0","resistant"
"1118","M00793","ND35_MAG_00042","dTDP-L-rhamnose biosynthesis","Pathway modules","Biosynthesis of terpenoids and polyketides","Polyketide sugar unit biosynthesis","K00973 K01710 (K01790 K00067,K23987)",1,"True",1,"True",1,"K00067,K00973,K01710,K01790","1,1,1,1","K00067,K00973,K01710,K01790","582233,582234,582232,582235","None",1,1,"1,1,1","resistant"
"1119","M00548","ND35_MAG_00042","Benzene degradation, benzene => catechol","Pathway modules","Xenobiotics biodegradation","Aromatics degradation","K16249+K16243+K16244+K16242+K16245+K16246",0,"False",0,"False",NA,"No enzymes unique to module",NA,"","","None",NA,0,"0","resistant"
"1120","M00615","ND35_MAG_00042","Nitrate assimilation","Signature modules","Module set","Metabolic capacity","(K02575,K15576+K15577+K15578-K15579) M00531",0,"False",0,"False",NA,"No enzymes unique to module",NA,"","","None",NA,0,"0,0","resistant"
"1121","M00001","ND35_MAG_00043","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate","Pathway modules","Carbohydrate metabolism","Central carbohydrate metabolism","(K00844,K12407,K00845,K25026,K00886,K08074,K00918) (K01810,K06859,K13810,K15916) (K00850,K16370,K21071,K00918) (K01623,K01624,K11645,K16305,K16306) K01803 ((K00134,K00150) K00927,K11389) (K01834,K15633,K15634,K15635) K01689 (K00873,K12406)",0.888888888888889,"True",0.9,"True",NA,"No enzymes unique to module",NA,"K00134,K00850,K00927,K01624,K01689,K01803,K01810,K01810,K01810,K15633,K25026,K25026","584753,585169,584752,585331,585859,585055,585414,585413,585412,585018,584681,585002","K15633 is present in multiple modules: M00001/M00002/M00003,K00134 is present in multiple modules: M00001/M00002/M00003/M00308/M00552/M00165/M00166/M00611/M00612,K01689 is present in multiple modules: M00001/M00002/M00003/M00346,K01624 is present in multiple modules: M00001/M00003/M00165/M00167/M00345/M00344/M00611/M00612,K25026 is present in multiple modules: M00001/M00549/M00909,K01810 is present in multiple modules: M00001/M00004/M00892/M00909,K01803 is present in multiple modules: M00001/M00002/M00003,K00850 is present in multiple modules: M00001/M00345,K00927 is present in multiple modules: M00001/M00002/M00003/M00308/M00552/M00165/M00166/M00611/M00612",1,0,"2,3,1,1,1,1,1,1,0","susceptible"
